subject,condition,studyResp,studyResp2,named,afc,whichItem,trial
1,2,3,3,1,1,80,169
1,1,99999,99999,0,1,118,170
1,2,3,3,0,1,160,171
1,1,99999,99999,0,0,59,172
1,4,2,2,0,1,63,173
1,1,99999,99999,0,1,108,174
1,4,3,3,1,1,32,175
1,2,3,3,0,1,85,176
1,1,99999,99999,0,0,56,177
1,3,2,1,0,1,95,178
1,1,99999,99999,0,1,28,179
1,2,3,3,1,1,156,180
1,1,99999,99999,1,1,181,181
1,2,3,3,0,1,123,182
1,4,3,3,0,0,39,183
1,3,1,1,0,0,1,184
1,4,3,3,0,1,46,185
1,4,2,2,0,1,45,186
1,3,1,1,1,1,175,187
1,1,99999,99999,1,1,112,188
1,2,3,3,0,1,73,189
1,2,3,3,1,1,90,190
1,1,99999,99999,0,1,163,191
1,2,3,3,0,1,86,192
1,4,1,2,0,1,52,193
1,1,99999,99999,0,1,135,194
1,2,3,3,0,0,26,195
1,4,3,3,0,1,115,196
1,1,99999,99999,0,1,76,197
1,1,99999,99999,1,1,84,198
1,3,1,2,1,1,2,199
1,4,3,3,1,1,104,200
2,4,2,3,0,0,199,1
2,1,99999,99999,0,0,154,2
2,4,3,3,1,1,13,3
2,1,99999,99999,1,1,3,4
2,1,99999,99999,0,0,76,5
2,3,1,1,0,0,53,6
2,3,1,1,0,0,167,7
2,2,3,3,0,0,19,8
2,2,3,3,1,1,124,9
2,2,3,NaN,0,1,180,10
2,4,3,3,1,0,113,11
2,3,0,0,0,0,152,12
2,4,2,1,0,1,30,13
2,3,1,0,0,1,36,14
2,3,1,1,0,1,91,15
2,1,99999,99999,1,1,77,16
2,1,99999,99999,1,1,15,17
2,1,99999,99999,0,1,60,18
2,2,3,NaN,1,1,151,19
2,1,99999,99999,1,1,147,20
2,4,3,3,1,0,140,21
2,1,99999,99999,0,0,127,22
2,1,99999,99999,1,1,65,23
2,2,3,3,0,1,159,24
2,4,3,3,1,1,191,25
2,2,3,NaN,1,1,98,26
2,1,99999,99999,1,1,62,27
2,1,99999,99999,0,0,93,28
2,4,3,3,1,1,7,29
2,1,99999,99999,0,1,86,30
2,3,1,0,0,1,130,31
2,3,1,0,0,1,49,32
2,4,3,3,1,1,138,33
2,3,1,1,0,0,128,34
2,3,0,1,1,1,82,35
2,1,99999,99999,1,1,84,36
2,2,3,3,1,1,112,37
2,2,3,3,0,1,163,38
2,2,3,NaN,0,1,21,39
2,2,3,NaN,0,1,166,40
2,1,99999,99999,1,1,81,41
2,1,99999,99999,0,1,190,42
2,4,3,3,0,1,178,43
2,1,99999,99999,1,1,59,44
2,3,1,1,1,1,79,45
2,3,1,1,1,1,101,46
2,3,1,1,1,1,16,47
2,2,3,NaN,1,1,125,48
2,2,NaN,NaN,1,1,48,49
2,4,3,3,0,0,168,50
2,1,99999,99999,0,1,83,51
2,3,1,1,0,0,145,52
2,4,3,3,1,1,192,53
2,4,2,3,1,1,157,54
2,2,3,NaN,0,1,153,55
2,4,3,3,1,1,25,56
2,1,99999,99999,1,1,33,57
2,3,0,1,0,1,120,58
2,2,3,3,0,1,133,59
2,4,3,3,1,1,123,60
2,2,3,3,1,1,45,61
2,2,3,3,0,1,158,62
2,2,3,3,0,0,58,63
2,3,0,1,1,1,27,64
2,2,3,NaN,1,1,182,65
2,2,3,3,0,0,187,66
2,2,3,NaN,1,1,12,67
2,1,99999,99999,0,1,63,68
2,2,3,3,1,1,144,69
2,1,99999,99999,0,1,143,70
2,2,3,3,0,0,9,71
2,4,3,3,0,1,197,72
2,2,3,NaN,1,1,74,73
2,2,NaN,NaN,0,1,106,74
2,4,3,3,1,1,90,75
2,2,3,NaN,0,1,22,76
2,2,3,3,0,0,6,77
2,4,2,3,0,1,52,78
2,2,3,3,0,0,34,79
2,4,3,3,1,1,88,80
2,4,3,3,0,1,115,81
2,4,2,2,0,0,102,82
2,4,3,3,0,0,185,83
2,4,2,3,0,1,107,84
2,4,2,3,0,1,126,85
2,1,99999,99999,0,1,68,86
2,2,3,3,1,1,164,87
2,3,0,0,1,1,96,88
2,3,1,1,1,1,89,89
2,1,99999,99999,0,1,94,90
2,2,3,NaN,1,1,189,91
2,3,1,0,1,1,78,92
2,1,99999,99999,0,0,162,93
2,1,99999,99999,0,1,8,94
2,3,1,1,0,1,169,95
2,1,99999,99999,1,1,14,96
2,4,2,2,0,1,135,97
2,2,3,NaN,0,0,193,98
2,3,1,1,1,1,32,99
2,1,99999,99999,0,1,149,100
2,3,1,1,1,1,172,101
2,4,1,2,0,0,111,102
2,4,3,3,1,1,26,103
2,1,99999,99999,0,1,173,104
2,3,0,1,0,1,51,105
2,1,99999,99999,1,1,170,106
