subject,condition,studyResp,named,whichItem,trial
2,4,0,0,26,31
2,1,0,0,93,32
2,4,0,0,141,33
2,4,0,1,42,34
2,1,0,0,165,35
2,4,2,1,92,36
2,3,0,0,65,37
2,1,0,1,31,38
2,3,3,0,133,39
2,2,0,0,180,40
2,4,2,0,161,41
2,1,0,0,83,42
2,1,0,0,13,43
2,2,1,0,135,44
2,2,0,0,108,45
2,4,1,1,95,46
2,1,0,0,23,47
2,4,1,1,78,48
2,4,2,0,191,49
2,2,2,0,88,50
2,3,0,0,168,51
2,3,2,1,32,52
2,1,0,0,1,53
2,2,1,0,174,54
2,3,1,0,196,55
2,4,2,0,136,56
2,4,1,0,149,57
2,1,0,0,94,58
2,4,0,0,125,59
2,4,1,0,85,60
2,1,0,0,181,61
2,3,1,1,36,62
2,1,0,0,87,63
2,2,0,0,21,64
2,2,2,0,73,65
2,1,0,0,131,66
2,1,0,1,18,67
2,2,0,0,127,68
2,1,0,0,51,69
2,4,2,1,49,70
2,3,2,0,22,71
2,2,0,0,54,72
2,4,2,0,24,73
2,2,2,0,52,74
2,2,1,0,60,75
2,4,1,0,39,76
2,1,0,1,195,77
2,1,0,0,146,78
2,4,0,1,130,79
2,1,0,0,148,80
2,4,3,0,115,81
2,3,0,1,197,82
2,3,2,0,169,83
2,4,1,0,134,84
2,3,0,0,158,85
2,1,0,0,163,86
2,2,2,0,154,87
2,2,0,0,45,88
2,3,0,0,96,89
2,1,0,0,155,90
2,4,0,0,173,91
2,3,1,0,151,92
2,4,0,0,150,93
2,2,0,0,28,94
2,3,0,0,128,95
2,1,0,0,157,96
2,1,0,0,182,97
2,2,0,1,33,98
2,2,0,1,110,99
2,4,3,1,97,100
2,1,0,1,66,101
2,1,0,0,11,102
2,4,2,0,67,103
2,3,0,1,192,104
2,4,0,0,142,105
2,2,2,0,89,106
2,1,0,0,80,107
2,4,0,0,35,108
2,3,3,1,14,109
2,2,0,0,50,110
2,3,0,0,198,111
2,1,0,0,68,112
2,4,1,0,41,113
2,2,0,1,194,114
2,4,2,1,185,115
2,1,0,1,114,116
2,3,2,1,167,117
2,2,0,0,184,118
2,4,1,1,103,119
2,3,0,0,56,120
2,3,0,1,138,121
2,1,0,0,193,122
2,3,0,0,122,123
2,3,2,1,90,124
2,3,2,0,30,125
2,1,0,0,99,126
2,1,0,0,6,127
2,2,2,0,100,128
2,3,0,0,177,129
2,4,0,0,84,130
2,2,0,0,44,131
2,2,0,0,189,132
2,3,3,1,12,133
2,1,0,1,5,134
2,4,1,0,9,135
2,2,0,0,156,136
2,1,0,1,175,137
2,4,2,1,75,138
2,2,2,0,38,139
2,2,0,1,144,140
2,2,0,0,7,141
2,1,0,0,118,142
2,1,0,0,171,143
2,3,1,0,109,144
2,1,0,0,63,145
2,4,2,0,111,146
2,2,1,0,59,147
2,4,2,1,112,148
2,3,0,1,101,149
2,1,1,1,170,150
2,4,1,0,172,151
2,3,3,0,64,152
2,3,2,1,19,153
2,1,1,0,162,154
2,3,0,0,104,155
2,2,1,0,139,156
2,1,0,0,117,157
2,3,1,0,187,158
2,3,0,0,2,159
2,3,0,0,69,160
2,2,0,0,186,161
2,2,2,0,86,162
2,3,0,1,48,163
2,2,0,0,4,164
2,3,0,0,145,165
2,1,0,0,25,166
2,3,0,0,119,167
2,3,1,0,121,168
2,2,1,0,152,169
2,3,0,0,123,170
2,2,0,0,40,171
2,1,0,0,81,172
2,1,0,0,199,173
2,2,2,1,176,174
2,2,0,1,8,175
2,4,1,1,129,176
2,4,2,0,179,177
2,3,0,0,53,178
2,4,0,0,43,179
2,3,2,0,106,180
2,2,2,0,29,181
